ID,ActMode,EpNum,Date,Time,Act,Sleep,Down,IntCustom,Bad,Event,Light,LifeMeasure,OffWrist,PIM
unknown,ZCM,86,6/19/2024,12:02:00,155,0,0,0,0,0,24.31897,10000,0,1862.556
unknown,ZCM,87,6/19/2024,12:03:00,177,0,0,0,0,0,13,10000,0,1083.167
unknown,ZCM,88,6/19/2024,12:04:00,246,0,0,0,0,0,11.08333,10000,0,1521.722
unknown,ZCM,89,6/19/2024,12:05:00,171,0,0,0,0,0,1.909091,10000,0,1207.056
unknown,ZCM,90,6/19/2024,12:06:00,152,0,0,0,0,0,5.243902,10000,0,2257.5
unknown,ZCM,91,6/19/2024,12:07:00,204,0,0,0,0,0,6.317073,10000,0,3332.333
unknown,ZCM,92,6/19/2024,12:08:00,260,0,0,0,0,0,5.536585,10000,0,13344.22
unknown,ZCM,93,6/19/2024,12:09:00,218,0,0,0,0,0,27.63793,10000,0,4509.111
unknown,ZCM,94,6/19/2024,12:10:00,233,0,0,0,0,0,78.61062,10000,0,7399.944
unknown,ZCM,95,6/19/2024,12:11:00,193,0,0,0,0,0,16.16667,10000,0,4087.278
unknown,ZCM,96,6/19/2024,12:12:00,110,0,0,0,0,0,20.58333,10000,0,313.4445
unknown,ZCM,97,6/19/2024,12:13:00,156,0,0,0,0,0,22.80172,10000,0,2618.333
unknown,ZCM,98,6/19/2024,12:14:00,213,0,0,0,0,0,24.22414,10000,0,713.0555
unknown,ZCM,99,6/19/2024,12:15:00,172,0,0,0,0,0,26.78448,10000,0,1282.667
unknown,ZCM,100,6/19/2024,12:16:00,87,0,0,0,0,0,23.75,10000,0,1663.611
unknown,ZCM,101,6/19/2024,12:17:00,80,0,0,0,0,0,21.85345,10000,0,581.1111
unknown,ZCM,102,6/19/2024,12:18:00,194,0,0,0,0,0,26.21552,10000,0,265.2778
unknown,ZCM,103,6/19/2024,12:19:00,249,0,0,0,0,0,24.22414,10000,0,2233.556
unknown,ZCM,104,6/19/2024,12:20:00,121,0,0,0,0,0,23.93966,10000,0,508.3333
unknown,ZCM,105,6/19/2024,12:21:00,173,0,0,0,0,0,27.73276,10000,0,742.4445
unknown,ZCM,106,6/19/2024,12:22:00,201,0,0,0,0,0,28.01724,10000,0,2132.611
unknown,ZCM,107,6/19/2024,12:23:00,253,0,0,0,0,0,23.56034,10000,0,2778.056
unknown,ZCM,108,6/19/2024,12:24:00,186,0,0,0,0,0,27.06897,10000,0,1075.722
unknown,ZCM,109,6/19/2024,12:25:00,301,0,0,0,0,0,14.16667,10000,0,14726.67
unknown,ZCM,110,6/19/2024,12:26:00,292,0,0,0,0,0,12.25,10000,0,6381.111
unknown,ZCM,111,6/19/2024,12:27:00,316,0,0,0,0,0,33.13044,10000,0,12137
unknown,ZCM,112,6/19/2024,12:28:00,286,0,0,0,0,0,144.3419,10000,0,10902.06
unknown,ZCM,113,6/19/2024,12:29:00,226,0,0,0,0,0,29.06034,10000,0,8659.111
unknown,ZCM,114,6/19/2024,12:30:00,185,0,0,0,0,0,13.08333,10000,0,2373.278
unknown,ZCM,115,6/19/2024,12:31:00,190,0,0,0,0,0,22.7069,10000,0,3159.389
unknown,ZCM,116,6/19/2024,12:32:00,268,0,0,0,0,0,56.24038,10000,0,6932.222
unknown,ZCM,117,6/19/2024,12:33:00,258,0,0,0,0,0,122.3386,10000,0,2893.889
unknown,ZCM,118,6/19/2024,12:34:00,238,0,0,0,0,0,95.27711,10000,0,3091.667
unknown,ZCM,119,6/19/2024,12:35:00,246,0,0,0,0,0,123.811,10000,0,2559.222
unknown,ZCM,120,6/19/2024,12:36:00,219,0,0,0,0,0,127.3622,10000,0,2806.056
unknown,ZCM,121,6/19/2024,12:37:00,240,0,0,0,0,0,31.24138,10000,0,2206.722
unknown,ZCM,122,6/19/2024,12:38:00,211,0,0,0,0,0,23.93966,10000,0,3301.167
unknown,ZCM,123,6/19/2024,12:39:00,161,0,0,0,0,0,12.75,10000,0,2042.5
unknown,ZCM,124,6/19/2024,12:40:00,243,0,0,0,0,0,15.25,10000,0,1388.722
unknown,ZCM,125,6/19/2024,12:41:00,219,0,0,0,0,0,15.33333,10000,0,2256.556
unknown,ZCM,126,6/19/2024,12:42:00,245,0,0,0,0,0,13.08333,10000,0,3030.056
unknown,ZCM,127,6/19/2024,12:43:00,200,0,0,0,0,0,27.44828,10000,0,2276.944
unknown,ZCM,128,6/19/2024,12:44:00,196,0,0,0,0,0,22.80172,10000,0,2156.889
unknown,ZCM,129,6/19/2024,12:45:00,169,0,0,0,0,0,13.91667,10000,0,462.6111
unknown,ZCM,130,6/19/2024,12:46:00,231,0,0,0,0,0,41.3913,10000,0,3635.778
unknown,ZCM,131,6/19/2024,12:47:00,248,0,0,0,0,0,14.75,10000,0,544.0555
unknown,ZCM,132,6/19/2024,12:48:00,251,0,0,0,0,0,24.41379,10000,0,2395.889
unknown,ZCM,133,6/19/2024,12:49:00,225,0,0,0,0,0,45.47458,10000,0,1737.222
unknown,ZCM,134,6/19/2024,12:50:00,203,0,0,0,0,0,143.3355,10000,0,1500.944
unknown,ZCM,135,6/19/2024,12:51:00,200,0,0,0,0,0,93.15662,10000,0,2243.778
unknown,ZCM,136,6/19/2024,12:52:00,234,0,0,0,0,0,57.79808,10000,0,6756.944
unknown,ZCM,137,6/19/2024,12:53:00,234,0,0,0,0,0,166.9615,10000,0,8203.111
unknown,ZCM,138,6/19/2024,12:54:00,164,0,0,0,0,0,166.3846,10000,0,555.5
unknown,ZCM,139,6/19/2024,12:55:00,268,0,0,0,0,0,234.6762,10000,0,7031.278
unknown,ZCM,140,6/19/2024,12:56:00,302,0,0,0,0,0,89.83761,10000,0,10125.17
unknown,ZCM,141,6/19/2024,12:57:00,262,0,0,0,0,0,227.127,10000,0,2195
unknown,ZCM,142,6/19/2024,12:58:00,275,0,0,0,0,0,213.7206,10000,0,3717.389
unknown,ZCM,143,6/19/2024,12:59:00,286,0,0,0,0,0,98.93976,10000,0,5678.333
unknown,ZCM,144,6/19/2024,13:00:00,298,0,0,0,0,0,24.31897,10000,0,11922.56
unknown,ZCM,145,6/19/2024,13:01:00,207,0,0,0,0,0,18.66667,10000,0,3261.5
unknown,ZCM,146,6/19/2024,13:02:00,191,0,0,0,0,0,16.5,10000,0,1601.333
unknown,ZCM,147,6/19/2024,13:03:00,251,0,0,0,0,0,19.08333,10000,0,3840.278
unknown,ZCM,148,6/19/2024,13:04:00,199,0,0,0,0,0,25.55172,10000,0,1389.722
unknown,ZCM,149,6/19/2024,13:05:00,288,0,0,0,0,0,19.16667,10000,0,19738.39
unknown,ZCM,150,6/19/2024,13:06:00,282,0,0,0,0,0,22.80172,10000,0,8537.889
unknown,ZCM,151,6/19/2024,13:07:00,289,0,0,0,0,0,51.06779,10000,0,2760.944
unknown,ZCM,152,6/19/2024,13:08:00,265,0,0,0,0,0,71.08849,10000,0,3118
unknown,ZCM,153,6/19/2024,13:09:00,280,0,0,0,0,0,68.77778,10000,0,4179.722
unknown,ZCM,154,6/19/2024,13:10:00,278,0,0,0,0,0,55.20192,10000,0,7947.389
unknown,ZCM,155,6/19/2024,13:11:00,275,0,0,0,0,0,57.45192,10000,0,5658.944
unknown,ZCM,156,6/19/2024,13:12:00,290,0,0,0,0,0,89.55556,10000,0,13193.11
unknown,ZCM,157,6/19/2024,13:13:00,291,0,0,0,0,0,91.34188,10000,0,6284.389
unknown,ZCM,158,6/19/2024,13:14:00,312,0,0,0,0,0,99.51807,10000,0,3566.556
unknown,ZCM,159,6/19/2024,13:15:00,260,0,0,0,0,0,97.39759,10000,0,5421.944
unknown,ZCM,160,6/19/2024,13:16:00,244,0,0,0,0,0,85.04273,10000,0,3786.167
unknown,ZCM,161,6/19/2024,13:17:00,274,0,0,0,0,0,81.84615,10000,0,4132.556
unknown,ZCM,162,6/19/2024,13:18:00,230,0,0,0,0,0,54.16346,10000,0,5055.944
unknown,ZCM,163,6/19/2024,13:19:00,262,0,0,0,0,0,85.32478,10000,0,5700.556
unknown,ZCM,164,6/19/2024,13:20:00,228,0,0,0,0,0,72.32743,10000,0,4778
unknown,ZCM,165,6/19/2024,13:21:00,222,0,0,0,0,0,31.90517,10000,0,4386.556
unknown,ZCM,166,6/19/2024,13:22:00,283,0,0,0,0,0,110.0893,10000,0,6643.611
unknown,ZCM,167,6/19/2024,13:23:00,233,0,0,0,0,0,87.95727,10000,0,4608.389
unknown,ZCM,168,6/19/2024,13:24:00,250,0,0,0,0,0,181.2542,10000,0,4281.333
unknown,ZCM,169,6/19/2024,13:25:00,217,0,0,0,0,0,182.1381,10000,0,778.5555
unknown,ZCM,170,6/19/2024,13:26:00,212,0,0,0,0,0,154.1548,10000,0,5639.833
unknown,ZCM,171,6/19/2024,13:27:00,297,0,0,0,0,0,134.1079,10000,0,5727.5
unknown,ZCM,172,6/19/2024,13:28:00,299,0,0,0,0,0,155.4968,10000,0,6405.333
unknown,ZCM,173,6/19/2024,13:29:00,266,0,0,0,0,0,118.8393,10000,0,11428.11
unknown,ZCM,174,6/19/2024,13:30:00,296,0,0,0,0,0,149.7935,10000,0,8319
